Player,Team,Region,Role,Position,Price
mada,NRG Esports,AMER,Duelist,D,14.5
Derke,Team Vitality,EMEA,Duelist,D,14
Primmie,FULL SENSE,PAC,Duelist,D,13.5
jawgemo,G2 Esports,AMER,Duelist,D,13.5
t3xture,Gen.G,PAC,Duelist,D,13.5
Jinggg,Paper Rex,PAC,Duelist,D,13.5
something,Paper Rex,PAC,Duelist,D,13.5
Jemkin,Rex Regum Qeon,PAC,Duelist,D,13.5
Lovers rock,BBL Esports,EMEA,Duelist,D,13
OXY,Cloud9,AMER,Sentinel,D,13
Meiy,Detonation FocusMe,PAC,Duelist,D,13
HYUNMIN,DRX,PAC,Duelist,D,13
Sato,LEVIATÁN,AMER,Duelist,D,13
iZu,T1,PAC,Duelist,D,13
koalanoob,FURIA,AMER,Duelist,D,12.5
Miniboo,Team Liquid,EMEA,Duelist,D,12.5
Timotino,100 Thieves,AMER,Duelist,D,12
Lar0k,BBL Esports,EMEA,Duelist,D,12
Francis,Nongshim RedForce,PAC,Duelist,D,12
BuZz,T1,PAC,Duelist,D,12
BABYBAY,G2 Esports,AMER,Duelist,D,11.5
Neon,LEVIATÁN,AMER,Duelist,D,11.5
Comeback,Team Heretics,EMEA,Duelist,D,11.5
kamo,Team Liquid,EMEA,Initiator,D,11.5
Keznit,ENVY,AMER,Duelist,D,11
dgzin,Evil Geniuses,AMER,Duelist,D,11
Autumn,Global Esports,PAC,Duelist,D,11
DanteDeu5,KRÜ Esports,AMER,Duelist,D,11
Jerrwin,Sentinels,AMER,Duelist,D,11
Reduxx,Sentinels,AMER,Duelist,D,11
xeus,FUT Esports,EMEA,Duelist,D,10.5
ara,GIANTX,EMEA,Duelist,D,10.5
LewN,Karmine Corp,EMEA,Duelist,D,10.5
ExiT,Natus Vincere,EMEA,Duelist,D,10.5
Alym,FURIA,AMER,Duelist,D,10
bipo,Gentle Mates,EMEA,Duelist,D,10
Penny,Cloud9,AMER,Duelist,D,9.5
Zexy,VARREL,PAC,Duelist,D,9.5
ZynX,Gen.G,PAC,Duelist,D,9
Filu,Natus Vincere,EMEA,Duelist,D,9
Yatsuka,Detonation FocusMe,PAC,Duelist,D,8.5
virtyy,LOUD,AMER,Duelist,D,8.5
eko,ZETA DIVISION,PAC,Duelist,D,8.5
Izzy,Eternal Fire,EMEA,Duelist,D,8
Okeanos,Evil Geniuses,AMER,Duelist,D,8
Eggsterr,ENVY,AMER,Duelist,D,7.5
Favian,Eternal Fire,EMEA,Duelist/Sentinel,D,7.5
cNed,PCIFIC Esports,EMEA,Duelist,D,7.5
kellyS,Team Secret,PAC,Duelist,D,7.5
Rimuru/Zeus,Team Secret,PAC,Duelist,D,7.5
Absol,ZETA DIVISION,PAC,Duelist,D,7
f0rsaken,Paper Rex,PAC,Controller,C,13.5
valyn,G2 Esports,AMER,Controller,C,12.5
Zekken,MIBR,AMER,Duelist/Controller,C,12.5
Keiko,NRG Esports,AMER,Controller,C,12.5
Ruxic,Natus Vincere,EMEA,Sentinel,C,11.5
Veqaj,FNATIC,EMEA,Sentinel,C,10.5
Patmen,Global Esports,PAC,Controller,C,10
Rb,Nongshim RedForce,PAC,Controller,C,10
Mazino,MIBR,AMER,Controller,C,9
Monyet,Rex Regum Qeon,PAC,Duelist,C,9
JohnQT,Sentinels,AMER,Controller,C,9
bang,100 Thieves,AMER,Controller,C,8.5
Loita,BBL Esports,EMEA,Controller,C,8.5
MaKo,DRX,PAC,Controller,C,8.5
wayne,Team Liquid,EMEA,Controller,C,8.5
PROFEK,Team Vitality,EMEA,Controller,C,8.5
v1c,Cloud9,AMER,Controller,C,8
artzin,FURIA,AMER,Controller,C,8
Dos9,Karmine Corp,EMEA,Controller,C,8
kingg,LEVIATÁN,AMER,Controller,C,8
Rossy,ENVY,AMER,Controller,C,7.5
Leviathan,FULL SENSE,PAC,Controller,C,7.5
GLYPH,Gentle Mates,EMEA,Controller,C,7.5
xavi8k,Global Esports,PAC,Controller,C,7.5
silentzz,KRÜ Esports,AMER,Controller,C,7.5
Munchkin,T1,PAC,Controller,C,7.5
Boaster,FNATIC,EMEA,Controller,C,7
Ash,Gen.G,PAC,Controller,C,7
Grubinho,GIANTX,EMEA,Controller,C,7
crazyguy,Rex Regum Qeon,PAC,Controller,C,7
Boo,Team Heretics,EMEA,Controller,C,7
audaz,Eternal Fire,EMEA,Controller,C,6.5
supamen,Evil Geniuses,AMER,Controller,C,6.5
Crws,FULL SENSE,PAC,Initiator,C,6.5
MrFalin,FUT Esports,EMEA,Controller,C,6.5
Erde,LOUD,AMER,Controller,C,6.5
oonzmlp,VARREL,PAC,Duelist,C,6.5
SugarZ3ro,ZETA DIVISION,PAC,Controller,C,6.5
SSeeS,Detonation FocusMe,PAC,Controller,C,6
Saadhak,KRÜ Esports,AMER,Controller,C,6
qpert,PCIFIC Esports,EMEA,Controller,C,5
Sylvan,Team Secret,PAC,Controller,C,5
C1ndeR,VARREL,PAC,Controller,C,5
