Player,Team,Region,Role,N_Games,BasePts,GW1,GW2,GW3,GW4,GW5,GW6,SeasonValue,SuggestedVP,ManualVP,Diff
Chronicle,Team Vitality,EMEA,S,69,8.58,8.94,8.01,9.41,8.46,10.24,0.0,45.06,12.0,11.5,0.5
Derke,Team Vitality,EMEA,D,55,8.81,9.18,8.22,9.66,8.68,10.51,0.0,46.25,12.0,14.0,-2.0
LewN,Karmine Corp,EMEA,D,26,9.21,8.93,9.77,8.69,9.36,9.34,0.0,46.09,12.0,10.5,1.5
Veqaj,FNATIC,EMEA,C,12,8.62,9.45,8.52,10.29,8.99,8.5,0.0,45.75,11.5,10.5,1.0
Sato,LEVIATÁN,AMER,D,13,8.73,0.0,8.77,8.06,9.62,8.94,9.32,44.71,11.5,13.0,-1.5
d4v41,Paper Rex,PAC,S,80,8.97,8.39,8.41,9.4,9.62,8.54,0.0,44.36,11.5,11.0,0.5
Jinggg,Paper Rex,PAC,D,71,9.08,8.49,8.51,9.51,9.73,8.64,0.0,44.88,11.5,13.5,-2.0
OXY,Cloud9,AMER,D,39,8.85,0.0,8.75,9.76,9.07,9.46,8.17,45.21,11.5,13.0,-1.5
something,Paper Rex,PAC,D,47,8.9,8.33,8.34,9.33,9.54,8.48,0.0,44.02,11.5,13.5,-2.0
Loita,BBL Esports,EMEA,C,7,8.48,10.12,9.3,8.84,8.38,7.91,0.0,44.55,11.0,8.5,2.5
Karon,Gen.G,PAC,S,68,8.71,9.34,8.08,8.15,8.3,9.13,0.0,43.0,11.0,10.0,1.0
Ruxic,Natus Vincere,EMEA,C,24,8.64,8.16,8.78,9.16,8.38,8.88,0.0,43.36,11.0,11.5,-0.5
BABYBAY,G2 Esports,EMEA,D,12,8.41,0.0,8.61,8.31,8.98,9.27,8.45,43.62,11.0,11.5,-0.5
leaf,G2 Esports,AMER,S,45,8.53,0.0,8.73,8.43,9.11,9.4,8.57,44.24,11.0,12.5,-1.5
invy,Paper Rex,PAC,I,32,8.68,8.12,8.13,9.1,9.31,8.26,0.0,42.92,11.0,11.5,-0.5
Crashies,FNATIC,EMEA,I,41,8.18,8.97,8.09,9.77,8.53,8.07,0.0,43.43,10.0,9.0,1.0
Patmen,Global Esports,PAC,C,34,8.85,8.3,9.28,8.43,8.21,8.28,0.0,42.5,10.0,10.0,0.0
valyn,G2 Esports,EMEA,C,45,7.99,0.0,8.18,7.9,8.53,8.81,8.03,41.45,10.0,12.5,-2.5
seven,PCIFIC Esports,EMEA,I,3,8.37,8.25,8.73,7.82,9.18,8.27,0.0,42.25,10.0,7.0,3.0
xavi8k,Global Esports,PAC,C,6,8.82,8.27,9.24,8.4,8.18,8.25,0.0,42.34,10.0,7.5,2.5
Alym,FURIA,AMER,D,6,8.71,0.0,8.27,8.91,8.96,8.36,8.65,43.15,10.0,10.0,0.0
bipo,Gentle Mates,EMEA,D,9,8.47,8.61,8.7,8.59,8.0,8.22,0.0,42.12,10.0,10.0,0.0
brawk,NRG Esports,AMER,I,35,8.03,0.0,8.86,8.26,7.97,8.22,7.7,41.01,10.0,9.5,0.5
Cryocells,100 Thieves,AMER,S,50,8.46,0.0,8.65,8.11,8.03,8.7,9.34,42.83,10.0,10.5,-0.5
Miniboo,Team Liquid,EMEA,D,38,8.28,8.51,7.82,8.42,8.41,8.79,0.0,41.95,10.0,12.5,-2.5
Avez,Karmine Corp,EMEA,I,19,8.09,7.85,8.58,7.64,8.22,8.21,0.0,40.5,9.5,8.0,1.5
ethan,NRG Esports,AMER,I,25,8.06,0.0,8.9,8.29,8.0,8.25,7.73,41.17,9.5,8.0,1.5
v1c,Cloud9,AMER,C,26,8.01,0.0,7.92,8.83,8.21,8.56,7.4,40.92,9.5,8.0,1.5
Demon1,ENVY,AMER,S,20,7.88,0.0,8.42,7.92,7.79,7.27,8.07,39.47,9.5,10.0,-0.5
JohnQT,Sentinels,AMER,C,35,8.04,0.0,8.26,7.98,8.22,8.87,7.63,40.96,9.5,9.0,0.5
Munchkin,T1,PAC,C,73,7.56,9.02,7.82,7.53,8.09,7.85,0.0,40.31,9.5,7.5,2.0
Neon,LEVIATÁN,AMER,D,3,8.08,0.0,8.12,7.46,8.91,8.27,8.63,41.39,9.5,11.5,-2.0
Monyet,Rex Regum Qeon,PAC,C,49,7.66,8.21,9.14,7.56,7.96,7.93,0.0,40.8,9.5,9.0,0.5
hiro,Natus Vincere,EMEA,S,38,8.19,7.73,8.32,8.68,7.94,8.41,0.0,41.08,9.5,11.5,-2.0
trent,G2 Esports,EMEA,I,45,7.89,0.0,8.08,7.8,8.42,8.7,7.93,40.93,9.5,11.0,-1.5
Minny,Gentle Mates,EMEA,S,23,8.22,8.36,8.45,8.34,7.76,7.98,0.0,40.89,9.5,10.5,-1.0
Keznit,ENVY,AMER,D,23,8.23,0.0,8.79,8.27,8.13,7.59,8.43,41.21,9.5,11.0,-1.5
Timotino,100 Thieves,AMER,D,8,7.91,0.0,8.09,7.58,7.51,8.13,8.73,40.04,9.5,12.0,-2.5
Meiy,Detonation FocusMe,PAC,D,34,7.38,7.67,7.29,7.91,8.81,7.35,0.0,39.03,9.0,13.0,-4.0
Mazino,MIBR,AMER,C,53,7.61,0.0,7.02,8.12,7.64,7.52,8.39,38.69,9.0,9.0,0.0
nAts,Team Liquid,EMEA,S,25,7.6,7.81,7.18,7.73,7.71,8.06,0.0,38.49,9.0,11.0,-2.0
PROFEK,Team Vitality,EMEA,C,28,7.36,7.67,6.87,8.07,7.25,8.78,0.0,38.64,9.0,8.5,0.5
JonahP,Sentinels,AMER,I,71,7.4,0.0,7.61,7.35,7.57,8.17,7.03,37.73,9.0,8.0,1.0
Lukxo,LOUD,AMER,S,11,7.95,0.0,8.77,8.14,7.34,7.99,7.86,40.1,9.0,9.5,-0.5
Killua,FULL SENSE,PAC,I,22,7.25,7.5,7.76,8.65,7.22,7.15,0.0,38.28,9.0,8.0,1.0
eeiu,FURIA,AMER,I,48,7.95,0.0,7.54,8.13,8.16,7.62,7.88,39.33,9.0,10.0,-1.0
SUYGETSU,Karmine Corp,EMEA,S,34,7.66,7.44,8.13,7.24,7.79,7.78,0.0,38.38,9.0,9.0,0.0
Verno,MIBR,AMER,I,30,7.68,0.0,7.09,8.2,7.71,7.59,8.46,39.05,9.0,9.5,-0.5
Udotan,Global Esports,PAC,S,19,8.22,7.7,8.61,7.82,7.62,7.69,0.0,39.44,9.0,9.0,0.0
N4RRATE,Karmine Corp,EMEA,I,58,7.56,7.34,8.02,7.14,7.69,7.68,0.0,37.87,9.0,8.5,0.5
MaKo,DRX,PAC,C,61,7.92,8.3,7.41,8.49,7.42,7.34,0.0,38.96,9.0,8.5,0.5
Xffero,Rex Regum Qeon,PAC,S,34,7.56,8.1,9.02,7.46,7.85,7.83,0.0,40.26,9.0,8.5,0.5
Kushy,Rex Regum Qeon,PAC,I,34,7.45,7.99,8.9,7.36,7.74,7.72,0.0,39.71,9.0,8.0,1.0
Comeback,Team Heretics,EMEA,D,11,7.37,7.48,7.15,7.57,7.82,7.49,0.0,37.51,8.5,11.5,-3.0
kamo,Team Liquid,EMEA,D,26,7.44,7.64,7.02,7.56,7.55,7.89,0.0,37.66,8.5,11.5,-3.0
RieNs,Team Heretics,EMEA,I,46,7.27,7.38,7.06,7.47,7.71,7.39,0.0,37.01,8.5,11.0,-2.5
Wo0t,Team Heretics,EMEA,I,64,7.19,7.3,6.98,7.39,7.63,7.31,0.0,36.61,8.5,10.5,-2.0
wayne,Team Liquid,EMEA,C,10,7.34,7.54,6.93,7.46,7.45,7.79,0.0,37.17,8.5,8.5,0.0
caedye,Detonation FocusMe,PAC,S,0,7.02,7.29,6.93,7.52,8.37,6.99,0.0,37.1,8.5,7.5,1.0
al0rante,PCIFIC Esports,EMEA,S,3,7.59,7.48,7.91,7.08,8.32,7.5,0.0,38.29,8.5,6.5,2.0
ara,GIANTX,EMEA,D,23,7.16,7.07,8.54,7.05,6.68,7.85,0.0,37.19,8.5,10.5,-2.0
Tex,MIBR,AMER,S,5,7.32,0.0,6.76,7.82,7.35,7.24,8.07,37.24,8.5,8.0,0.5
Zexy,VARREL,PAC,D,3,7.23,7.13,7.2,7.51,7.48,7.74,0.0,37.06,8.5,9.5,-1.0
Less,KRÜ Esports,AMER,S,40,7.46,0.0,7.16,7.08,8.23,7.4,7.63,37.5,8.5,8.5,0.0
Free1ng,DRX,PAC,S,37,7.52,7.88,7.03,8.07,7.05,6.97,0.0,37.0,8.5,7.5,1.0
Eggsterr,ENVY,AMER,D,5,7.47,0.0,7.98,7.51,7.39,6.9,7.65,37.43,8.5,7.5,1.0
ZynX,Gen.G,PAC,D,4,7.46,8.0,6.91,6.97,7.1,7.82,0.0,36.8,8.5,9.0,-0.5
bang,100 Thieves,AMER,C,62,7.3,0.0,7.47,7.0,6.93,7.5,8.06,36.96,8.5,8.5,0.0
Stax,T1,PAC,I,41,7.22,8.61,7.47,7.19,7.73,7.5,0.0,38.5,8.5,7.0,1.5
Erde,LOUD,AMER,C,0,7.02,0.0,7.73,7.19,6.48,7.05,6.94,35.39,8.0,6.5,1.5
Vora,100 Thieves,AMER,I,8,6.98,0.0,7.14,6.7,6.63,7.18,7.71,35.36,8.0,7.5,0.5
Jerrwin,Sentinels,AMER,D,0,7.02,0.0,7.21,6.96,7.18,7.74,6.66,35.75,8.0,11.0,-3.0
Crewen,BBL Esports,EMEA,S,7,6.84,8.16,7.5,7.13,6.76,6.39,0.0,35.94,8.0,7.5,0.5
Jamppi,Team Vitality,EMEA,I,42,6.9,7.19,6.44,7.56,6.8,8.23,0.0,36.22,8.0,8.5,-0.5
Izzy,Eternal Fire,EMEA,D,0,7.02,6.55,6.92,6.93,8.37,7.31,0.0,36.08,8.0,8.0,0.0
cauanzin,LOUD,AMER,I,20,7.2,0.0,7.94,7.37,6.65,7.23,7.12,36.31,8.0,6.0,2.0
echo,Eternal Fire,EMEA,S,0,7.02,6.55,6.92,6.93,8.37,7.31,0.0,36.08,8.0,6.0,2.0
Chloric,Natus Vincere,EMEA,I,0,7.02,6.63,7.13,7.44,6.81,7.21,0.0,35.22,8.0,7.0,1.0
Xeppaa,Cloud9,AMER,I,41,6.86,0.0,6.78,7.56,7.03,7.33,6.33,35.03,8.0,7.5,0.5
GLYPH,Gentle Mates,EMEA,C,9,7.18,7.3,7.37,7.28,6.78,6.96,0.0,35.69,8.0,7.5,0.5
Rosé,BBL Esports,EMEA,I,0,7.02,8.37,7.69,7.31,6.93,6.55,0.0,36.85,8.0,7.0,1.0
Rossy,ENVY,AMER,C,22,7.01,0.0,7.48,7.04,6.93,6.47,7.18,35.1,8.0,7.5,0.5
starxo,Gentle Mates,EMEA,I,24,6.95,7.06,7.14,7.05,6.56,6.74,0.0,34.55,8.0,7.5,0.5
artzin,FURIA,AMER,C,21,7.05,0.0,6.69,7.21,7.25,6.76,7.0,34.91,8.0,8.0,0.0
kingg,LEVIATÁN,AMER,C,21,6.94,0.0,6.97,6.41,7.65,7.11,7.41,35.55,8.0,8.0,0.0
Sayonara,Team Vitality,EMEA,I,0,7.02,7.31,6.55,7.69,6.92,8.37,0.0,36.84,8.0,10.0,-2.0
xeus,FUT Esports,EMEA,D,3,7.16,7.59,7.26,6.95,7.35,6.76,0.0,35.91,8.0,10.5,-2.5
benjyfishy,Team Heretics,EMEA,S,67,6.94,7.04,6.73,7.13,7.36,7.05,0.0,35.31,8.0,9.0,-1.0
Dos9,Karmine Corp,EMEA,C,18,7.06,6.85,7.48,6.66,7.17,7.16,0.0,35.32,8.0,8.0,0.0
Bao,Evil Geniuses,AMER,S,5,6.54,0.0,6.48,7.21,6.27,6.2,6.72,32.88,7.5,6.5,1.0
supamen,Evil Geniuses,AMER,C,17,6.7,0.0,6.65,7.39,6.42,6.36,6.88,33.7,7.5,6.5,1.0
Flickless,GIANTX,EMEA,I,23,6.32,6.25,7.54,6.23,5.9,6.93,0.0,32.85,7.5,7.0,0.5
Ash,Gen.G,PAC,C,24,6.89,7.39,6.39,6.44,6.56,7.22,0.0,34.0,7.5,7.0,0.5
Leviathan,FULL SENSE,PAC,C,5,6.34,6.56,6.79,7.56,6.31,6.25,0.0,33.47,7.5,7.5,0.0
Rimuru/Zeus,Team Secret,PAC,D,0,7.02,6.68,7.53,6.51,6.56,6.58,0.0,33.86,7.5,7.5,0.0
nerve,FURIA,AMER,S,6,6.46,0.0,6.13,6.6,6.64,6.19,6.41,31.97,7.5,7.0,0.5
SugarZ3ro,ZETA DIVISION,PAC,C,31,6.21,6.19,6.45,6.43,6.13,7.42,0.0,32.62,7.5,6.5,1.0
Yatsuka,Detonation FocusMe,PAC,D,7,6.21,6.45,6.13,6.65,7.41,6.19,0.0,32.83,7.5,8.5,-1.0
Cortezia,Sentinels,AMER,S,32,6.9,0.0,7.09,6.84,7.05,7.61,6.55,35.14,7.5,8.5,-1.0
Westside,GIANTX,EMEA,S,29,6.66,6.59,7.95,6.57,6.22,7.31,0.0,34.64,7.5,8.5,-1.0
Okeanos,Evil Geniuses,AMER,D,13,6.78,0.0,6.73,7.48,6.5,6.43,6.97,34.11,7.5,8.0,-0.5
ExiT,Natus Vincere,EMEA,D,0,7.02,6.63,7.13,7.44,6.81,7.21,0.0,35.22,7.5,10.5,-3.0
Penny,Cloud9,AMER,D,12,6.75,0.0,6.67,7.44,6.91,7.2,6.23,34.45,7.5,9.5,-2.0
cloud,GIANTX,EMEA,I,5,6.47,6.39,7.72,6.37,6.04,7.09,0.0,33.61,7.5,8.0,-0.5
Yetujey,FUT Esports,EMEA,S,20,6.52,6.92,6.62,6.33,6.7,6.16,0.0,32.73,7.5,7.5,0.0
purp0,Team Liquid,EMEA,I,21,6.73,6.91,6.35,6.84,6.83,7.13,0.0,34.06,7.5,7.5,0.0
Zellsis,Cloud9,AMER,S,69,6.21,0.0,6.14,6.85,6.36,6.64,5.74,31.73,7.5,6.0,1.5
Krostaly,FUT Esports,EMEA,I,0,7.02,7.44,7.12,6.81,7.21,6.63,0.0,35.21,7.5,6.0,1.5
BeYN,DRX,PAC,I,44,7.09,7.44,6.63,7.61,6.65,6.58,0.0,34.91,7.5,7.5,0.0
Xdll,ZETA DIVISION,PAC,I,16,6.23,6.2,6.47,6.45,6.15,7.43,0.0,32.7,7.5,5.5,2.0
DanteDeu5,KRÜ Esports,AMER,D,6,6.46,0.0,6.19,6.13,7.12,6.41,6.6,32.45,7.0,11.0,-4.0
qRaxs,FUT Esports,EMEA,I,43,5.93,6.29,6.02,5.75,6.09,5.6,0.0,29.75,7.0,6.5,0.5
Filu,Natus Vincere,EMEA,D,17,6.02,5.69,6.12,6.39,5.85,6.19,0.0,30.24,7.0,9.0,-2.0
XuNa,VARREL,PAC,I,3,6.14,6.06,6.12,6.38,6.36,6.58,0.0,31.5,7.0,7.5,-0.5
cNed,PCIFIC Esports,EMEA,D,29,6.13,6.04,6.39,5.72,6.72,6.05,0.0,30.92,7.0,7.5,-0.5
Saadhak,KRÜ Esports,AMER,C,15,6.07,0.0,5.82,5.76,6.69,6.02,6.21,30.5,7.0,6.0,1.0
Lakia,Gen.G,PAC,I,43,5.97,6.4,5.54,5.58,5.69,6.26,0.0,29.47,7.0,5.5,1.5
Asuna,100 Thieves,AMER,I,50,6.16,0.0,6.3,5.91,5.84,6.33,6.79,31.17,7.0,8.0,-1.0
Grubinho,GIANTX,EMEA,C,28,5.79,5.72,6.91,5.71,5.41,6.35,0.0,30.1,7.0,7.0,0.0
Kr1stal,Global Esports,PAC,I,19,6.59,6.18,6.91,6.28,6.12,6.17,0.0,31.66,7.0,7.5,-0.5
crazyguy,Rex Regum Qeon,PAC,C,11,5.7,6.1,6.8,5.62,5.92,5.9,0.0,30.34,7.0,7.0,0.0
Akame,Detonation FocusMe,PAC,I,22,5.84,6.06,5.76,6.25,6.97,5.81,0.0,30.85,7.0,6.5,0.5
Crws,FULL SENSE,PAC,C,40,5.5,5.69,5.89,6.56,5.48,5.43,0.0,29.05,7.0,6.5,0.5
Hermes,DRX,PAC,I,6,6.48,6.8,6.07,6.95,6.08,6.01,0.0,31.91,7.0,7.0,0.0
Klaus,VARREL,PAC,S,14,5.76,5.69,5.74,5.99,5.97,6.18,0.0,29.57,7.0,7.0,0.0
Reduxx,Sentinels,AMER,D,4,5.53,0.0,5.68,5.48,5.65,6.1,5.25,28.16,6.5,11.0,-4.5
NINJA,PCIFIC Esports,EMEA,I,3,5.69,5.61,5.94,5.32,6.25,5.63,0.0,28.75,6.5,5.5,1.0
BerserX,Team Secret,PAC,S,17,5.86,5.58,6.28,5.43,5.48,5.49,0.0,28.26,6.5,5.5,1.0
Jitboys,FULL SENSE,PAC,S,5,5.39,5.58,5.77,6.43,5.37,5.32,0.0,28.47,6.5,7.5,-1.0
Boo,Team Heretics,EMEA,C,73,5.51,5.59,5.35,5.66,5.84,5.6,0.0,28.04,6.5,7.0,-0.5
MrFalin,FUT Esports,EMEA,C,20,5.74,6.09,5.83,5.57,5.9,5.42,0.0,28.81,6.5,6.5,0.0
C0M,Evil Geniuses,AMER,I,51,5.71,0.0,5.67,6.3,5.48,5.42,5.87,28.74,6.5,6.0,0.5
eko,ZETA DIVISION,PAC,D,4,5.27,5.25,5.47,5.45,5.2,6.29,0.0,27.66,6.0,8.5,-2.5
oonzmlp,VARREL,PAC,C,3,4.94,4.87,4.92,5.13,5.11,5.29,0.0,25.32,6.0,6.5,-0.5
Spike,LEVIATÁN,AMER,S,5,5.27,0.0,5.29,4.86,5.81,5.4,5.63,26.99,6.0,8.0,-2.0
silentzz,KRÜ Esports,AMER,C,12,5.54,0.0,5.31,5.26,6.11,5.5,5.66,27.84,6.0,7.5,-1.5
blowz,LEVIATÁN,AMER,I,5,5.37,0.0,5.39,4.96,5.92,5.5,5.73,27.5,6.0,7.0,-1.0
Sylvan,Team Secret,PAC,C,19,5.71,5.44,6.13,5.3,5.34,5.36,0.0,27.57,6.0,5.0,1.0
P0PPIN,ENVY,AMER,I,5,5.32,0.0,5.68,5.35,5.26,4.91,5.45,26.65,6.0,6.5,-0.5
Boaster,FNATIC,EMEA,C,70,5.15,5.65,5.09,6.15,5.37,5.08,0.0,27.34,6.0,7.0,-1.0
audaz,Eternal Fire,EMEA,C,4,4.28,4.0,4.22,4.23,5.11,4.47,0.0,22.03,5.5,6.5,-1.0
Absol,ZETA DIVISION,PAC,D,4,4.54,4.52,4.71,4.7,4.48,5.41,0.0,23.82,5.5,7.0,-1.5
Favian,Eternal Fire,EMEA,D,4,4.62,4.32,4.56,4.57,5.52,4.82,0.0,23.79,5.5,7.5,-2.0
kellyS,Team Secret,PAC,D,3,4.96,4.72,5.32,4.6,4.64,4.65,0.0,23.93,5.5,7.5,-2.0
mwzera,KRÜ Esports,AMER,I,14,4.91,0.0,4.71,4.66,5.41,4.87,5.02,24.67,5.5,6.5,-1.0
Jessievash,Team Secret,PAC,I,3,4.68,4.46,5.02,4.34,4.38,4.39,0.0,22.59,5.5,5.0,0.5
Darker,LOUD,AMER,I,3,4.61,0.0,5.08,4.72,4.25,4.63,4.56,23.24,5.5,6.5,-1.0
nekky,Eternal Fire,EMEA,I,4,4.35,4.06,4.29,4.3,5.19,4.53,0.0,22.37,5.5,6.5,-1.0
SSeeS,Detonation FocusMe,PAC,C,25,4.17,4.33,4.11,4.47,4.98,4.15,0.0,22.04,5.5,6.0,-0.5
virtyy,LOUD,AMER,D,3,3.95,0.0,4.35,4.04,3.64,3.97,3.9,19.9,5.0,8.5,-3.5
SyouTa,ZETA DIVISION,PAC,S,4,4.03,4.01,4.18,4.17,3.98,4.81,0.0,21.15,5.0,6.0,-1.0
qpert,PCIFIC Esports,EMEA,C,3,4.24,4.18,4.42,3.96,4.65,4.19,0.0,21.4,5.0,5.0,0.0
C1ndeR,VARREL,PAC,C,3,3.53,3.48,3.52,3.67,3.65,3.78,0.0,18.1,5.0,5.0,0.0
